Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
2005-01-15,ORL,85,IND,84,N,orl-vs-ind-0020400534,regular,1,3
1998-02-27,GSW,88,BOS,120,N,gsw-vs-bos-0029700809,regular,1,1
2009-04-10,PHX,89,MEM,106,N,phx-vs-mem-0020801181,regular,1,1
2010-10-20,NOH,98,CHA,105,Y,noh-vs-cha-0011000100,preseason,1,8
2005-11-11,UTA,99,TOR,84,N,uta-vs-tor-0020500071,regular,1,4
2001-03-04,CHH,116,BOS,97,N,chh-vs-bos-0020000853,regular,1,9
1998-02-24,LAL,98,MIL,81,N,lal-vs-mil-0029700790,regular,1,3
1997-01-02,LAL,90,SAC,83,N,lal-vs-sac-0029600432,regular,1,9
2023-03-11,NYK,95,LAC,106,N,nyk-vs-lac-0022201004,regular,1,9
1997-11-07,CLE,96,BOS,92,N,cle-vs-bos-0029700054,regular,1,9
2000-06-23,No Games,-,No Games,-,-,-,-,2,3
2000-11-04,ORL,107,ATL,104,N,orl-vs-atl-0020000036,regular,1,7
1997-02-26,SAC,111,BOS,105,N,sac-vs-bos-0029600795,regular,1,2
2019-11-25,POR,117,CHI,94,N,por-vs-chi-0021900247,regular,1,3
2019-03-24,SAS,115,BOS,96,N,sas-vs-bos-0021801100,regular,1,5
2014-01-22,DET,101,MIL,104,N,det-vs-mil-0021300628,regular,1,6
2010-12-08,MIA,111,UTA,98,N,mia-vs-uta-0021000324,regular,1,7
2019-03-26,SAC,125,DAL,121,N,sac-vs-dal-0021801114,regular,1,7
2014-05-19,OKC,105,SAS,122,N,okc-vs-sas-0041300311,playoffs,1,1
2022-12-31,DET,116,MIN,104,N,det-vs-min-0022200544,regular,1,4
2020-07-30,UTA,106,NOP,104,N,uta-vs-nop-0021901231,regular,1,8
2007-12-26,NYK,96,ORL,110,N,nyk-vs-orl-0020700411,regular,1,5
2016-03-12,MEM,83,ATL,95,N,mem-vs-atl-0021500974,regular,1,9
2000-12-20,UTA,91,PHI,89,N,uta-vs-phi-0020000361,regular,1,2
2010-07-05,No Games,-,No Games,-,-,-,-,2,2
2003-01-20,SAC,102,GSW,80,N,sac-vs-gsw-0020200582,regular,1,4
2023-03-11,OKC,110,NOP,96,N,okc-vs-nop-0022201011,regular,1,0
2020-01-11,MIN,109,HOU,139,N,min-vs-hou-0021900577,regular,1,1
2020-05-12,No Games,-,No Games,-,-,-,-,2,6
2007-01-31,GSW,94,ATL,115,N,gsw-vs-atl-0020600676,regular,1,1
2009-11-29,HOU,100,OKC,91,N,hou-vs-okc-0020900244,regular,1,1
2005-06-25,No Games,-,No Games,-,-,-,-,2,2
2000-01-04,SAC,111,CLE,107,N,sac-vs-cle-0029900433,regular,1,8
2006-07-24,No Games,-,No Games,-,-,-,-,2,6
1999-04-29,DAL,91,HOU,81,N,dal-vs-hou-0029800669,regular,1,7
1999-10-24,DET,-,HOU,-,N,det-vs-hou-0019900087,preseason,2,9
2017-01-15,MIN,87,DAL,98,N,min-vs-dal-0021600608,regular,1,3
2007-03-07,WAS,97,ATL,100,N,was-vs-atl-0020600909,regular,1,7
2008-02-16,No Games,-,No Games,-,-,-,-,2,7
2022-04-10,DET,106,PHI,118,N,det-vs-phi-0022101228,regular,1,7
2013-02-13,CHI,69,BOS,71,N,chi-vs-bos-0021200778,regular,1,7
2007-03-30,DEN,108,PHX,125,N,den-vs-phx-0020601080,regular,1,4
2019-12-05,PHX,139,NOP,132,Y,phx-vs-nop-0021900319,regular,1,9
2013-03-31,CLE,92,NOH,112,N,cle-vs-noh-0021201096,regular,1,6
2008-02-10,SAS,90,BOS,98,N,sas-vs-bos-0020700749,regular,1,1
2022-01-09,SAC,88,POR,103,N,sac-vs-por-0022100605,regular,1,1
2022-01-21,POR,109,BOS,105,N,por-vs-bos-0022100688,regular,1,1
1995-12-02,ATL,96,DET,104,N,atl-vs-det-0029500216,regular,1,4
1998-04-25,SAS,101,PHX,108,N,sas-vs-phx-0049700010,playoffs,1,5
2004-02-13,EST,-,WST,-,N,est-vs-wst-0030300004,regular,2,3
2008-02-08,SEA,99,PHX,103,N,sea-vs-phx-0020700734,regular,1,6
2005-01-12,HOU,124,DAL,114,N,hou-vs-dal-0020400511,regular,1,3
2016-04-12,OKC,98,SAS,102,Y,okc-vs-sas-0021501215,regular,1,9
2002-01-21,WAS,101,MIN,105,N,was-vs-min-0020100577,regular,1,9
2005-10-14,MIN,84,IND,93,N,min-vs-ind-0010500023,preseason,1,4
2018-11-20,LAC,118,WAS,125,N,lac-vs-was-0021800249,regular,1,9
2017-02-27,TOR,92,NYK,91,N,tor-vs-nyk-0021600882,regular,1,3
1996-04-19,VAN,92,DEN,78,N,van-vs-den-0029501169,regular,1,3
2021-12-27,HOU,99,CHA,123,N,hou-vs-cha-0022100501,regular,1,4
