Date,Detail Path,Action Number,Clock,Period,Team ID,Team Tricode,Person Id,Player Name,Player Init,xLegacy,yLegacy,Shot Distance,Shot Result,Field Goal,Score Home,Score Away,Points Total,Location,Description,Action Type,Sub-Type,Video Available,Action Id
2023-01-06,cha-vs-mil-0022200583,313.0,PT01M52.00S,2.0,1610612749.0,MIL,201950.0,Holiday,J. Holiday,0.0,0.0,0.0,,0.0,,,0.0,h,MISS Holiday Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1.0,222.0
2022-11-28,min-vs-was-0022200300,173.0,PT11M46.00S,2.0,1610612764.0,WAS,1628398.0,Kuzma,K. Kuzma,0.0,0.0,0.0,,0.0,,,0.0,h,Kuzma REBOUND (Off:0 Def:2),Rebound,Unknown,1.0,117.0
2023-02-10,mil-vs-lac-0022200845,4.0,PT12M00.00S,1.0,1610612746.0,LAC,1627826.0,Zubac,I. Zubac,0.0,0.0,0.0,,0.0,,,0.0,h,Jump Ball Zubac vs. Lopez: Tip to Connaughton,Jump Ball,,1.0,2.0
2023-03-04,atl-vs-mia-0022200958,431.0,PT04M46.00S,3.0,0.0,,1610612737.0,,,0.0,0.0,0.0,,0.0,,,0.0,v,Hawks Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0.0,309.0
2022-10-11,mem-vs-orl-0012200048,372.0,PT06M53.00S,3.0,1610612763.0,MEM,1628415.0,Brooks,D. Brooks,129.0,169.0,21.0,Missed,1.0,,,0.0,v,MISS Brooks 21' Jump Shot,Missed Shot,Jump Shot,1.0,280.0
2023-02-25,mia-vs-cha-0022200904,118.0,PT03M49.00S,1.0,1610612748.0,MIA,202710.0,Butler,J. Butler,0.0,0.0,0.0,,0.0,17.0,16.0,33.0,v,Butler Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,1.0,93.0
2023-01-16,bos-vs-cha-0022200656,365.0,PT08M28.00S,3.0,1610612738.0,BOS,1628369.0,Tatum,J. Tatum,-107.0,243.0,27.0,Made,1.0,63.0,78.0,141.0,v,Tatum 27' 3PT Step Back Jump Shot (25 PTS) (Williams III 3 AST),Made Shot,Step Back Jump shot,1.0,263.0
2022-11-30,por-vs-lal-0022200324,99.0,PT03M53.00S,1.0,1610612757.0,POR,1630570.0,Watford,T. Watford,0.0,0.0,0.0,,0.0,,,0.0,v,Watford S.FOUL (P1.T3) (J.Capers),Foul,Shooting,1.0,77.0
2022-11-25,por-vs-nyk-0022200274,14.0,PT11M03.00S,1.0,1610612752.0,NYK,203944.0,Randle,J. Randle,136.0,94.0,17.0,Missed,1.0,,,0.0,h,MISS Randle 17' Jump Shot,Missed Shot,Jump Shot,1.0,8.0
2023-01-08,cle-vs-phx-0022200603,389.0,PT03M41.00S,3.0,1610612739.0,CLE,1627747.0,LeVert,C. LeVert,6.0,11.0,1.0,Made,1.0,67.0,73.0,140.0,v,LeVert 1' Running Layup (6 PTS),Made Shot,Running Layup Shot,1.0,290.0
2023-02-14,bos-vs-mil-0022200869,678.0,PT00M07.40S,4.0,1610612738.0,BOS,1629057.0,Williams III,R. Williams III,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Hauser FOR Williams III,Substitution,,0.0,487.0
2022-11-09,por-vs-cha-0022200159,516.0,PT11M27.00S,4.0,0.0,,1610612766.0,,,0.0,0.0,0.0,,0.0,,,0.0,h,HORNETS Rebound,Rebound,Unknown,1.0,376.0
2023-01-15,gsw-vs-chi-0022200650,264.0,PT06M15.00S,2.0,1610612744.0,GSW,1628978.0,DiVincenzo,D. DiVincenzo,0.0,0.0,0.0,,0.0,,,0.0,v,DiVincenzo BLOCK (1 BLK),,,1.0,187.0
