loss,accuracy,val_loss,val_accuracy
0.8914026618003845,0.5436151623725891,0.6795168519020081,0.590758204460144
0.6665513515472412,0.6034864783287048,0.6512254476547241,0.6153846383094788
0.6469869613647461,0.6264873147010803,0.6445077657699585,0.628666341304779
0.6362155079841614,0.6414983868598938,0.6334131956100464,0.6317100524902344
0.6301596164703369,0.64907306432724,0.6301154494285583,0.6408411860466003
0.6263455152511597,0.6522897481918335,0.6280903816223145,0.6408411860466003
0.6233142614364624,0.6557831168174744,0.625145435333252,0.6505257487297058
0.6220607757568359,0.6578929424285889,0.6243652701377869,0.649695634841919
0.6204288601875305,0.6579275131225586,0.62488853931427,0.645268440246582
0.6191513538360596,0.6605561971664429,0.6217143535614014,0.6546763181686401
0.6182062029838562,0.6589305996894836,0.6235175728797913,0.650802493095398
0.6193826198577881,0.6607637405395508,0.6233408451080322,0.6524626612663269
0.6174981594085693,0.6626660227775574,0.6223456263542175,0.6560598015785217
0.6174615025520325,0.6618359684944153,0.6224415302276611,0.654399573802948
0.617914080619812,0.659622311592102,0.6203745007514954,0.6524626612663269
0.6161060333251953,0.6619396805763245,0.6224582195281982,0.6541228890419006
0.6181924939155579,0.6595531702041626,0.6666869521141052,0.5929718017578125
0.6184684038162231,0.6595877408981323,0.6202284693717957,0.6568899154663086
0.6151063442230225,0.6611787676811218,0.622713029384613,0.654399573802948
0.6155632734298706,0.6633232235908508,0.6220472455024719,0.6557831168174744
